//<Version>ODV Spreadsheet V4.0</Version>
//<Creator>tremenyi@SCLS-SPN-14234.local</Creator>
//<CreateTime>2012-05-13T08:32:49</CreateTime>
//<Software>Ocean Data View Version 4.3.5 - 2010</Software>
//<Source>/Users/tremenyi/Documents/ODV/data/SAZSENSE/SAZSENSE_TM_20120209.odv</Source>
//<SourceLastModified>2012-05-04T12:51:19</SourceLastModified>
//<DataField>GeneralField</DataField>
//<DataType>GeneralType</DataType>
//
Cruise	Station	Type	date	Lon	Lat	BotDepth	Depth	Al	Co	Ni	Cu	Zn	Cd	Pb	Fe
AA0307	2b	B	0007-01-20T16:53	143.0300	-44.950	1000	15.000	0.880	13.100	3.340	0.477	10.750	22.200	78.800	0.370
AA0307	2b	B	0007-01-20T16:53	143.0300	-44.950	1000	25.000	0.367	10.400	3.410	0.494	9.510	32.000	106.200	0.290
AA0307	2b	B	0007-01-20T16:53	143.0300	-44.950	1000	50.000	0.516	14.700	3.720	0.745	7.440	18.900	28.800	0.300
AA0307	2b	B	0007-01-20T16:53	143.0300	-44.950	1000	75.000	0.589	19.700	4.020	0.631	9.300	63.700	94.900	0.410
AA0307	2b	B	0007-01-20T16:53	143.0300	-44.950	1000	100.000	0.413	17.000	3.980	0.496	11.300	103.200	78.000	0.310
AA0307	2b	B	0007-01-20T16:53	143.0300	-44.950	1000	125.000	0.311	16.700	3.930	0.484	8.020	82.100	118.400	0.230
AA0307	2b	B	0007-01-20T16:53	143.0300	-44.950	1000	150.000	0.294	17.800	3.390	0.420	10.900	108.300	43.300	0.130
AA0307	2b	B	0007-01-20T16:53	143.0300	-44.950	1000	200.000	0.577	23.000	3.690	0.432	17.740	166.500	63.100	0.110
AA0307	2b	B	0007-01-20T16:53	143.0300	-44.950	1000	300.000	0.481	26.800	3.760	0.467	8.580	211.700	70.800	0.090
AA0307	2b	B	0007-01-20T16:53	143.0300	-44.950	1000	500.000	0.422	30.100	3.850	0.526	4.220	226.700	30.700	0.100
AA0307	2b	B	0007-01-20T16:53	143.0300	-44.950	1000	700.000	0.642	27.600	4.440	0.653	4.360	340.100	31.900	0.110
AA0307	2b	B	0007-01-20T16:53	143.0300	-44.950	1000	1000.000	1.232	31.500	5.430	0.733	14.210	576.400	28.300	0.150
AA0307	4a	B	0007-01-22T18:25	140.4600	-46.280	1000	15.000	0.294	11.100	3.290	0.387	7.950	14.500	50.700	0.310
AA0307	4a	B	0007-01-22T18:25	140.4600	-46.280	1000	25.000	0.287	13.100	3.320	0.217	14.470	33.800	128.400	0.260
AA0307	4a	B	0007-01-22T18:25	140.4600	-46.280	1000	50.000	0.431	17.500	3.940	0.498	6.970	13.000	25.700	0.270
AA0307	4a	B	0007-01-22T18:25	140.4600	-46.280	1000	75.000	0.341	20.400	3.910	0.370	7.960	62.000	67.800	0.260
AA0307	4a	B	0007-01-22T18:25	140.4600	-46.280	1000	100.000	0.406	19.900	4.030	0.248	11.910	108.900	66.200	0.320
AA0307	4a	B	0007-01-22T18:25	140.4600	-46.280	1000	125.000	0.403	19.200	4.090	0.334	8.160	120.700	85.900	0.260
AA0307	4a	B	0007-01-22T18:25	140.4600	-46.280	1000	150.000	0.634	25.900	4.080	0.304	15.560	142.400	29.000	0.250
AA0307	4a	B	0007-01-22T18:25	140.4600	-46.280	1000	200.000	0.450	31.400	4.200	0.375	7.000	175.600	39.600	0.270
AA0307	4a	B	0007-01-22T18:25	140.4600	-46.280	1000	300.000	0.699	27.100	4.260	0.365	7.230	184.700	58.000	0.260
AA0307	4a	B	0007-01-22T18:25	140.4600	-46.280	1000	500.000	0.447	29.700	4.290	0.467	4.700	195.000	29.600	0.280
AA0307	4a	B	0007-01-22T18:25	140.4600	-46.280	1000	700.000	0.695	32.300	5.090	0.641	5.250	383.000	30.200	0.340
AA0307	4a	B	0007-01-22T18:25	140.4600	-46.280	1000	1000.000	0.876	37.400	5.820	0.935	4.950	599.100	18.300	0.290
AA0307	5	B	0007-01-29T23:15	143.0000	-49.000	1000	15.000	0.644	10.400	3.860	0.540	6.100	45.000	33.200	0.310
AA0307	5	B	0007-01-29T23:15	143.0000	-49.000	1000	25.000	0.700	14.600	3.860	0.527	2.380	32.400	20.200	0.290
AA0307	5	B	0007-01-29T23:15	143.0000	-49.000	1000	50.000	0.852	11.500	3.850	0.507	1.810	38.800	19.200	0.240
AA0307	5	B	0007-01-29T23:15	143.0000	-49.000	1000	75.000	1.473	26.500	4.690	0.566	2.140	147.600	38.800	0.290
AA0307	5	B	0007-01-29T23:15	143.0000	-49.000	1000	100.000		29.300	4.590	0.548	2.830	167.100	37.800	0.250
AA0307	5	B	0007-01-29T23:15	143.0000	-49.000	1000	125.000	0.364	27.900	4.570	0.543	2.800	173.000	50.600	0.250
AA0307	5	B	0007-01-29T23:15	143.0000	-49.000	1000	150.000	0.442	35.400	4.620	0.498	6.290	209.700	28.300	0.240
AA0307	5	B	0007-01-29T23:15	143.0000	-49.000	1000	200.000	0.541	30.400	4.450	0.465	5.520	193.500	42.600	0.220
AA0307	5	B	0007-01-29T23:15	143.0000	-49.000	1000	300.000	0.643	31.900	4.400	0.510	4.420	183.100	61.900	0.230
AA0307	5	B	0007-01-29T23:15	143.0000	-49.000	1000	500.000	0.585	29.600	4.690	0.621	2.530	203.100	23.100	0.250
AA0307	5	B	0007-01-29T23:15	143.0000	-49.000	1000	700.000	0.584	33.500	5.110	0.612	3.430	311.200	46.400	0.260
AA0307	5	B	0007-01-29T23:15	143.0000	-49.000	1000	1000.000	1.244	36.700	6.010	0.793	6.500	522.400	42.900	0.290
AA0307	6a	B	0007-02-01T08:53	145.9200	-53.990	1000	15.000	0.427	28.300	6.210	0.981	1.570	270.100	9.600	0.210
AA0307	6a	B	0007-02-01T08:53	145.9200	-53.990	1000	25.000	1.011	29.000	6.150	1.018	1.140	268.400	10.700	0.210
AA0307	6a	B	0007-02-01T08:53	145.9200	-53.990	1000	50.000	0.275	29.200	6.180	1.007	3.380	294.300	10.700	0.190
AA0307	6a	B	0007-02-01T08:53	145.9200	-53.990	1000	75.000	0.280	31.000	6.280	1.081	2.350	450.000	13.700	0.230
AA0307	6a	B	0007-02-01T08:53	145.9200	-53.990	1000	100.000	0.249	39.800	6.470	1.099	3.830	640.900	18.300	0.250
AA0307	6a	B	0007-02-01T08:53	145.9200	-53.990	1000	125.000	1.842	42.900	6.540	1.217	3.800	686.600	18.200	0.250
AA0307	6a	B	0007-02-01T08:53	145.9200	-53.990	1000	150.000	1.229	39.900	6.610	1.135	4.850	696.000	10.800	0.240
AA0307	6a	B	0007-02-01T08:53	145.9200	-53.990	1000	200.000	0.382	42.500	6.750	1.240	5.910	790.500	19.200	0.350
AA0307	6a	B	0007-02-01T08:53	145.9200	-53.990	1000	300.000	0.438	39.300	7.070	1.494	6.420	892.700	29.100	0.380
