"Cruise","Station","Type","date","Lon","Lat","BotDepth","Depth","Al","Co","Ni","Cu","Zn","Cd","Pb","Fe"
"AA0307","2b","B","0007-01-20T16:53",143.03,-44.95,1000,15,0.88,13.1,3.34,0.477,10.75,22.2,78.8,0.37
"AA0307","2b","B","0007-01-20T16:53",143.03,-44.95,1000,25,0.367,10.4,3.41,0.494,9.51,32,106.2,0.29
"AA0307","2b","B","0007-01-20T16:53",143.03,-44.95,1000,50,0.516,14.7,3.72,0.745,7.44,18.9,28.8,0.3
"AA0307","2b","B","0007-01-20T16:53",143.03,-44.95,1000,75,0.589,19.7,4.02,0.631,9.3,63.7,94.9,0.41
"AA0307","2b","B","0007-01-20T16:53",143.03,-44.95,1000,100,0.413,17,3.98,0.496,11.3,103.2,78,0.31
"AA0307","2b","B","0007-01-20T16:53",143.03,-44.95,1000,125,0.311,16.7,3.93,0.484,8.02,82.1,118.4,0.23
"AA0307","2b","B","0007-01-20T16:53",143.03,-44.95,1000,150,0.294,17.8,3.39,0.42,10.9,108.3,43.3,0.13
"AA0307","2b","B","0007-01-20T16:53",143.03,-44.95,1000,200,0.577,23,3.69,0.432,17.74,166.5,63.1,0.11
"AA0307","2b","B","0007-01-20T16:53",143.03,-44.95,1000,300,0.481,26.8,3.76,0.467,8.58,211.7,70.8,0.09
"AA0307","2b","B","0007-01-20T16:53",143.03,-44.95,1000,500,0.422,30.1,3.85,0.526,4.22,226.7,30.7,0.1
"AA0307","2b","B","0007-01-20T16:53",143.03,-44.95,1000,700,0.642,27.6,4.44,0.653,4.36,340.1,31.9,0.11
"AA0307","2b","B","0007-01-20T16:53",143.03,-44.95,1000,1000,1.232,31.5,5.43,0.733,14.21,576.4,28.3,0.15
"AA0307","4a","B","0007-01-22T18:25",140.46,-46.28,1000,15,0.294,11.1,3.29,0.387,7.95,14.5,50.7,0.31
"AA0307","4a","B","0007-01-22T18:25",140.46,-46.28,1000,25,0.287,13.1,3.32,0.217,14.47,33.8,128.4,0.26
"AA0307","4a","B","0007-01-22T18:25",140.46,-46.28,1000,50,0.431,17.5,3.94,0.498,6.97,13,25.7,0.27
"AA0307","4a","B","0007-01-22T18:25",140.46,-46.28,1000,75,0.341,20.4,3.91,0.37,7.96,62,67.8,0.26
"AA0307","4a","B","0007-01-22T18:25",140.46,-46.28,1000,100,0.406,19.9,4.03,0.248,11.91,108.9,66.2,0.32
"AA0307","4a","B","0007-01-22T18:25",140.46,-46.28,1000,125,0.403,19.2,4.09,0.334,8.16,120.7,85.9,0.26
"AA0307","4a","B","0007-01-22T18:25",140.46,-46.28,1000,150,0.634,25.9,4.08,0.304,15.56,142.4,29,0.25
"AA0307","4a","B","0007-01-22T18:25",140.46,-46.28,1000,200,0.45,31.4,4.2,0.375,7,175.6,39.6,0.27
"AA0307","4a","B","0007-01-22T18:25",140.46,-46.28,1000,300,0.699,27.1,4.26,0.365,7.23,184.7,58,0.26
"AA0307","4a","B","0007-01-22T18:25",140.46,-46.28,1000,500,0.447,29.7,4.29,0.467,4.7,195,29.6,0.28
"AA0307","4a","B","0007-01-22T18:25",140.46,-46.28,1000,700,0.695,32.3,5.09,0.641,5.25,383,30.2,0.34
"AA0307","4a","B","0007-01-22T18:25",140.46,-46.28,1000,1000,0.876,37.4,5.82,0.935,4.95,599.1,18.3,0.29
"AA0307","5","B","0007-01-29T23:15",143,-49,1000,15,0.644,10.4,3.86,0.54,6.1,45,33.2,0.31
"AA0307","5","B","0007-01-29T23:15",143,-49,1000,25,0.7,14.6,3.86,0.527,2.38,32.4,20.2,0.29
"AA0307","5","B","0007-01-29T23:15",143,-49,1000,50,0.852,11.5,3.85,0.507,1.81,38.8,19.2,0.24
"AA0307","5","B","0007-01-29T23:15",143,-49,1000,75,1.473,26.5,4.69,0.566,2.14,147.6,38.8,0.29
"AA0307","5","B","0007-01-29T23:15",143,-49,1000,125,0.364,27.9,4.57,0.543,2.8,173,50.6,0.25
"AA0307","5","B","0007-01-29T23:15",143,-49,1000,150,0.442,35.4,4.62,0.498,6.29,209.7,28.3,0.24
"AA0307","5","B","0007-01-29T23:15",143,-49,1000,200,0.541,30.4,4.45,0.465,5.52,193.5,42.6,0.22
"AA0307","5","B","0007-01-29T23:15",143,-49,1000,300,0.643,31.9,4.4,0.51,4.42,183.1,61.9,0.23
"AA0307","5","B","0007-01-29T23:15",143,-49,1000,500,0.585,29.6,4.69,0.621,2.53,203.1,23.1,0.25
"AA0307","5","B","0007-01-29T23:15",143,-49,1000,700,0.584,33.5,5.11,0.612,3.43,311.2,46.4,0.26
"AA0307","5","B","0007-01-29T23:15",143,-49,1000,1000,1.244,36.7,6.01,0.793,6.5,522.4,42.9,0.29
