"name","description","source_urls","reference","do_sync","method","method_flags","postprocess","access_function","data_group","user","password","wget_flags","http_proxy","ftp_proxy","local_file_root","clobber","skip_downloads","wait"
"NSIDC SMMR-SSM/I Nasateam sea ice concentration","Passive-microwave estimates of sea ice concentration at 25km spatial resolution. Daily and monthly resolution, available from 1-Oct-1978 to present.","ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice","http://nsidc.org/data/nsidc-0051.html",TRUE,"wget","--exclude-directories=pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/browse --recursive --level=inf","","readice","Sea ice","","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"NSIDC SMMR-SSM/I Nasateam near-real-time sea ice concentration","Passive-microwave estimates of sea ice concentration at 25km, daily, near-real-time resolution.","ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice","http://nsidc.org/data/nsidc-0081.html",TRUE,"wget","--exclude-directories=pub/DATASETS/nsidc0081_nrt_nasateam_seaice/browse --recursive --level=inf","","readice","Sea ice","","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"NSIDC passive microwave supporting files","Grids and other support files for NSIDC passive-microwave sea ice data.","ftp://sidads.colorado.edu/pub/DATASETS/seaice/polar-stereo/","http://nsidc.org/data/nsidc-0051.html",TRUE,"wget","--recursive --level=inf","","readice","Sea ice","","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"Nimbus Ice Edge Points from Nimbus Visible Imagery","This data set (NmIcEdg2) estimates the location of the North and South Pole sea ice edges at various times during the mid to late 1960s, based on recovered Nimbus 1 (1964), Nimbus 2 (1966), and Nimbus 3 (1969) visible imagery.","ftp://n5eil01u.ecs.nsidc.org/SAN/NIMBUS/NmIcEdg2.001","http://nsidc.org/data/nmicedg2/",TRUE,"wget","--recursive --level=inf --no-parent","","","Sea ice","","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"Artist AMSR-E passive microwave sea ice concentration","Passive-microwave estimates of daily sea ice concentration at 6.25km spatial resolution, from 19-Jun-2002 to 2-Oct-2011.","ftp://ftp-projects.zmaw.de/seaice/AMSR-E_ASI_IceConc/no_landmask/hdf/s6250/*","http://icdc.zmaw.de/seaiceconcentration_asi_amsre.html?&L=1",TRUE,"wget","--recursive --level=inf --follow-ftp","gunzip","readice","Sea ice","","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"Artist AMSR-E passive microwave supporting files","Grids and other support files for Artist AMSR-E passive-microwave sea ice data.","ftp://ftp-projects.zmaw.de/seaice/AMSR-E_ASI_IceConc/Landmasks",NA,TRUE,"wget","--recursive --level=inf --follow-ftp","","readice","Sea ice","","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"Artist AMSR2 near-real-time passive microwave sea ice concentration","Near-real-time passive-microwave estimates of daily sea ice concentration at 6.25km spatial resolution, from 24-July-2012 to present.","http://www.iup.uni-bremen.de:8084/amsr2data/asi_daygrid_swath/s6250/2012","http://www.iup.uni-bremen.de:8084/amsr2/",TRUE,"wget","--recursive --level=inf --timestamping --accept=""asi*.hdf"" --no-parent","","","Sea ice","","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"Artist AMSR2 passive microwave supporting files","Grids for Artist AMSR2 passive-microwave sea ice data.","http://www.iup.uni-bremen.de:8084/amsredata/asi_daygrid_swath/l1a/s6250/grid_coordinates/LongitudeLatitudeGrid-s6250-Antarctic.hdf","http://www.iup.uni-bremen.de:8084/amsr2/",TRUE,"wget","--recursive --level=inf --timestamping --accept=hdf --no-parent","","","Sea ice","","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"CERSAT SSM/I sea ice concentration","Passive microwave sea ice concentration data at 12.5km resolution, 3-Dec-1991 to present","ftp://ftp.ifremer.fr//ifremer/cersat/products/gridded/psi-concentration/data/antarctic/daily/netcdf/1991/*","http://cersat.ifremer.fr/data/tools-and-services/quicklooks/sea-ice/ssm-i-sea-ice-concentration-maps",FALSE,"wget","--recursive --level=inf --no-parent","","readice","Sea ice","","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
"Smith and Sandwell bathymetry","Global seafloor topography from satellite altimetry and ship depth soundings","ftp://topex.ucsd.edu/pub/global_topo_1min/*","http://topex.ucsd.edu/WWW_html/mar_topo.html",TRUE,"wget","--recursive --level=1 --no-parent","","readbathy","Topography","","","--restrict-file-names=windows --progress=dot:giga --timestamping","","","/rdsi/PRIVATE/data",1,FALSE,0
